( color, yellow )
( size, sm )
( tool, pen )
( drag,{ x: -30, y: 352.54166 } )
( drag,{ x: -9, y: 313.54166 } )
( drag,{ x: 20, y: 258.54166 } )
( drag,{ x: 44, y: 201.54166 } )
( drag,{ x: 51, y: 174.54166 } )
( drag,{ x: 51, y: 172.54166 } )
( drag,{ x: 51, y: 188.54166 } )
( drag,{ x: 43, y: 234.54166 } )
( drag,{ x: 27, y: 277.54166 } )
( drag,{ x: 23, y: 261.54166 } )
( drag,{ x: 34, y: 184.54166 } )
2( drag,{ x: 43, y: 152.54166 } )
( drag,{ x: 39, y: 249.54166 } )
( drag,{ x: 24, y: 348.54166 } )
( drag,{ x: 22, y: 370.54166 } )
( drag,{ x: 22, y: 369.54166 } )
( drag,{ x: 46, y: 262.54166 } )
( drag,{ x: 64, y: 193.54166 } )
( drag,{ x: 64, y: 190.54166 } )
( drag,{ x: 66, y: 297.54166 } )
( drag,{ x: 59, y: 388.54166 } )
( drag,{ x: 58, y: 402.54166 } )
( drag,{ x: 56, y: 348.54166 } )
( drag,{ x: 59, y: 220.54166 } )
( drag,{ x: 63, y: 186.54166 } )
( drag,{ x: 63, y: 185.54166 } )
( drag,{ x: 54, y: 317.54166 } )
( drag,{ x: 39, y: 393.54166 } )
( drag,{ x: 38, y: 397.54166 } )
( drag,{ x: 38, y: 317.54166 } )
( drag,{ x: 46, y: 266.54166 } )
( drag,{ x: 47, y: 264.54166 } )
( drag,{ x: 44, y: 322.54166 } )
( drag,{ x: 34, y: 392.54166 } )
( drag,{ x: 31, y: 401.54166 } )
( drag,{ x: 30, y: 393.54166 } )
( drag,{ x: 30, y: 313.54166 } )
( drag,{ x: 31, y: 285.54166 } )
( drag,{ x: 32, y: 282.54166 } )
( drag,{ x: 32, y: 358.54166 } )
( drag,{ x: 28, y: 430.54166 } )
( drag,{ x: 23, y: 470.54166 } )
( drag,{ x: 19, y: 452.54166 } )
( drag,{ x: 15, y: 345.54166 } )
( drag,{ x: 15, y: 305.54166 } )
( drag,{ x: 15, y: 306.54166 } )
( drag,{ x: 15, y: 365.54166 } )
( drag,{ x: 15, y: 426.54166 } )
( drag,{ x: 15, y: 434.54166 } )
( drag,{ x: 15, y: 382.54166 } )
( drag,{ x: 15, y: 344.54166 } )
( up, { x: 15, y: 344.54166 } )
( down,{ x: 15, y: 324.54166 } )
( drag,{ x: 15, y: 332.54166 } )
( drag,{ x: 15, y: 334.54166 } )
( drag,{ x: 12, y: 384.54166 } )
( drag,{ x: 4, y: 442.54166 } )
( drag,{ x: 0, y: 474.54166 } )
( drag,{ x: 0, y: 473.54166 } )
( drag,{ x: 12, y: 394.54166 } )
( drag,{ x: 20, y: 356.54166 } )
( drag,{ x: 27, y: 318.54166 } )
( drag,{ x: 34, y: 270.54166 } )
( drag,{ x: 35, y: 261.54166 } )
( drag,{ x: 35, y: 260.54166 } )
( drag,{ x: 35, y: 261.54166 } )
( drag,{ x: 22, y: 309.54166 } )
( drag,{ x: -21, y: 434.54166 } )
( drag,{ x: -30, y: 460.54166 } )
( drag,{ x: -30, y: 458.54166 } )
( drag,{ x: -22, y: 446.54166 } )
( drag,{ x: 8, y: 384.54166 } )
( drag,{ x: 23, y: 334.54166 } )
( drag,{ x: 34, y: 289.54166 } )
( drag,{ x: 39, y: 266.54166 } )
( drag,{ x: 71, y: 216.54166 } )
( drag,{ x: 86, y: 189.54166 } )
( drag,{ x: 91, y: 180.54166 } )
( drag,{ x: 91, y: 192.54166 } )
( drag,{ x: 60, y: 336.54166 } )
( drag,{ x: 34, y: 474.54166 } )
( drag,{ x: 20, y: 548.54166 } )
( drag,{ x: 20, y: 541.54166 } )
( drag,{ x: 48, y: 390.54166 } )
( drag,{ x: 71, y: 288.54166 } )
( drag,{ x: 80, y: 204.54166 } )
